"Date","Brazil_YoY","Canada_QoQ","Chile_YoY","China_YoY","Colombia_YoY","Czech Republic_YoY","Denmark_QoQ","Euro Area_QoQ","France_QoQ","Germany_QoQ","Hungary_YoY","India_YoY","Indonesia_YoY","Israel_YoY","Italy_QoQ","Japan_QoQ","Malaysia_YoY","Mexico_YoY","Netherlands_QoQ","Peru_YoY","Philippines_YoY","Poland_YoY","Romania_YoY","Russia_YoY","South Africa_YoY","South Korea_YoY","Spain_QoQ","Sweden_QoQ","Switzerland_QoQ","Thailand_YoY","Turkey_YoY","United Kingdom_QoQ","United States_QoQ"
2015-11-13,-4.1063,0.54237,NA,6.7218,NA,NA,NA,0.25912,0.35106,0.14914,NA,NA,NA,NA,0.02212,0.48155,NA,1.4285,NA,NA,NA,NA,NA,NA,1.1226,NA,0.66646,NA,NA,NA,NA,0.54924,0.44928
2015-11-14,-4.1063,0.54237,NA,6.7218,NA,NA,NA,0.25912,0.35106,0.14914,NA,NA,NA,NA,0.02212,0.48155,NA,1.4285,NA,NA,NA,NA,NA,NA,1.1226,NA,0.66646,NA,NA,NA,NA,0.54924,0.44928
2015-11-15,-4.1063,0.54237,NA,6.7218,NA,NA,NA,0.25912,0.35106,0.14914,NA,NA,NA,NA,0.02212,0.43418,NA,1.4285,NA,NA,NA,NA,NA,NA,1.1226,NA,0.66646,NA,NA,NA,NA,0.54924,0.44928
2015-11-16,-4.1063,0.44575,NA,6.7218,NA,NA,NA,0.25912,0.35106,0.14914,NA,NA,NA,NA,0.02212,0.43418,NA,1.4285,NA,NA,NA,NA,NA,NA,1.1226,NA,0.66417,NA,NA,NA,NA,0.54924,0.44928
2015-11-17,-4.1063,0.40769,NA,6.7218,NA,NA,NA,0.25981,0.35199,0.15096,NA,NA,NA,NA,0.035701,0.43418,NA,1.4094,NA,NA,NA,NA,NA,NA,1.1226,NA,0.66417,NA,NA,NA,NA,0.54924,0.42396
2015-11-18,-4.2138,0.40769,NA,6.7218,NA,NA,NA,0.27344,0.35065,0.1521,NA,NA,NA,NA,0.041596,0.43418,NA,1.4094,NA,NA,NA,NA,NA,NA,1.1156,NA,0.66417,NA,NA,NA,NA,0.54924,0.41558
2015-11-19,-4.2138,0.40369,NA,6.7218,NA,NA,NA,0.27344,0.35065,0.1521,NA,NA,NA,NA,0.041596,0.32693,NA,1.4199,NA,NA,NA,NA,NA,NA,1.1156,NA,0.66026,NA,NA,NA,NA,0.559,0.41476
2015-11-20,-4.1859,0.48019,NA,6.7218,NA,NA,NA,0.28912,0.35705,0.16665,NA,NA,NA,NA,0.049076,0.32693,NA,1.9492,NA,NA,NA,NA,NA,NA,1.1156,NA,0.66026,NA,NA,NA,NA,0.559,0.41273
2015-11-21,-4.1859,0.48019,NA,6.7218,NA,NA,NA,0.28912,0.35705,0.16665,NA,NA,NA,NA,0.049076,0.32693,NA,1.9492,NA,NA,NA,NA,NA,NA,1.1156,NA,0.66026,NA,NA,NA,NA,0.559,0.41273
2015-11-22,-4.1859,0.48019,NA,6.7218,NA,NA,NA,0.28912,0.35705,0.16665,NA,NA,NA,NA,0.049076,0.32693,NA,1.9492,NA,NA,NA,NA,NA,NA,1.1156,NA,0.66026,NA,NA,NA,NA,0.559,0.41273
