"Date","Brazil_YoY","Canada_YoY","China_YoY","Euro Area_YoY","France_YoY","Germany_YoY","Italy_YoY","Japan_YoY","Spain_YoY","Sweden_YoY","United Kingdom_YoY","United States_YoY"
2015-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
